92475db,haddadLCS,2024-11-20,Update PayPal transaction details and implement return functions. Save the list of PayPal transactions in the database for each order.,,,
abd3a40,haddadLCS,2024-11-20,fix version 20-11,,,
19d4c6c,haddadLCS,2024-11-20,integaration orders Details API,,,
7d7e4d4,haddadLCS,2024-11-20,Liste Card Payment sync with customer,,,
34b46cf,haddadLCS,2024-11-19,update config filter Apps for PlanPack articles,,,
a19130d,haddadLCS,2024-11-19,counting Tables Dashboard,,,
e4d5721,haddadLCS,2024-11-19,start with API dashboard  and filter data api integrations,,,
d92fd8c,haddadLCS,2024-11-18,update info articles and profiles,,,
0badaaf,haddadLCS,2024-11-18,"Finish testing articles item kits , brands,profiles crypted distributions.",,, 
747ec19,haddadLCS,2024-11-15,Fix bugs in the calendar. Validate the forms. Create the encrypted part of the profiles.,,,
8770bfb,haddadLCS,2024-11-15,Fix bugs in the test report for the mobile app LCSoftSim (up to page 23) - 07-11-2024.,,,
3b58f0f,haddadLCS,2024-11-15,update interface create subscription from webAPP BO,,,
496d496,haddadLCS,2024-11-14,Fix bugs and respond to test platform documents by 30-10.,,,
6c90763,haddadLCS,2024-11-14,Fix bugs and respond to test platform documents by 30-11.,,,
4bb8ee7,haddadLCS,2024-11-14,create PayPal Transaction Listing API Interface BO,,,
